team_name,canonical_team_name,phase25_decision,identity_feature_eligible,notes
-72C,-72C,,1,
00Nation,00Nation,,1,
100 Thieves,100 Thieves,,1,
15 Average Gaming,15 Average Gaming,,1,
163NEWS,163NEWS,,1,
1ADL,1ADL,,1,
1w Team,1w Team,,1,
1win Team,1win Team,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
2ez Gaming,2ez Gaming,,1,
500,500,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
5Actors,5Actors,,1,
5W Gaming,5W Gaming,,1,
5bears,5bears,,1,
777 Esports,777 Esports,,1,
8Sins,8Sins,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
9BoomPro,9BoomPro,,1,
9INE,9INE,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
9Pandas,9Pandas,,1,
9Pandas Fearless,9Pandas Fearless,,1,
9Pandas Staff,9Pandas Staff,,1,
9z Academy,9z Academy,,1,Youth/academy/junior/female roster - distinct from parent org '9z'. Do not merge.
9z Team,9z Team,,1,
ACROBATS,ACROBATS,,1,
ALASKA,ALASKA,,1,
ALGO Esports,ALGO Esports,,1,
ALLINNERS,ALLINNERS,,1,
ALTERNATE aTTaX,ALTERNATE aTTaX,,1,
AM,AM,,1,
AM Gaming,AM Gaming,,1,
AMKAL Esports,AMKAL Esports,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
ANTYKONFIDENT,ANTYKONFIDENT,,1,
ARCRED,ARCRED,,1,
ARROW,ARROW,,1,
ASTRAL Esports,ASTRAL Esports,,1,
ATOX Esports,ATOX Esports,,1,
ATRIVM,ATRIVM,,1,
AURA,AURA,,1,
AVANGAR,AVANGAR,,1,
AY4S,AY4S,,1,
AaB Esport,AaB Esport,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Acend,Acend,,1,
AgencilUSB,AgencilUSB,,1,
Aimclub,Aimclub,,1,
Akimbo Esports,Akimbo Esports,,1,
Al-Ittihad,Al-Ittihad,,1,
Alliance,Alliance,,1,
Aloha,Aloha,,1,
Altay Esports,Altay Esports,,1,
Alter Ego,Alter Ego,,1,
Anonymo Esports,Anonymo Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Apeks,Apeks,,1,
Apogee Esports,Apogee Esports,,1,
Arcade Esports,Arcade Esports,,1,
Astralis,Astralis,,1,
Astralis Women,Astralis Women,,1,Youth/academy/junior/female roster - distinct from parent org 'Astralis'. Do not merge.
Astrum,Astrum,,1,
Athlon,Athlon,,1,
Atreides,Atreides,,1,
Aurora Gaming,Aurora Gaming,KEEP_AS_SINGLE_TEAM,1,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: KEEP_AS_SINGLE_TEAM (see reports/unresolved_team_review.md)."
Aurora Staff,Aurora Staff,,1,
Aurora Young Blood,Aurora Young Blood,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
Avanti Esport,Avanti Esport,,1,
B8 Esports,B8 Esports,,1,
BAKS Esports,BAKS Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
BASEMENT BOYS,BASEMENT BOYS,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
BCGame,BCGame,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
BESTIA,BESTIA,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
BET-M 33,BET-M 33,,1,
BEZFORMbI,BEZFORMbI,,1,
BIG,BIG,,1,
BIG Academy,BIG Academy,,1,Youth/academy/junior/female roster - distinct from parent org 'BIG'. Do not merge.
BIG EQUIPA,BIG EQUIPA,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
BLAST Dream Team,BLAST Dream Team,,1,
BLESSED,BLESSED,,1,
BLUDS,BLUDS,,1,
BLUEJAYS,BLUEJAYS,,1,
BOSS,BOSS,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
BRUTE,BRUTE,MANUAL_REVIEW,0,"Has a same-tournament/near-in-time team_id pair with ZERO shared roster players - possible identity collision, needs manual review. Phase 2.5 proposed decision: MANUAL_REVIEW (see reports/unresolved_team_review.md)."
BULGARIAPEEK,BULGARIAPEEK,,1,
Bad News Bricks,Bad News Bricks,,1,
Bad News Eagles,Bad News Eagles,,1,
Bad News Kangaroos,Bad News Kangaroos,,1,
Badass Gaming,Badass Gaming,,1,
Baltimore,Baltimore,,1,
Baz Team,Baz Team,,1,
Bebop,Bebop,,1,
BenchedHeroes,BenchedHeroes,,1,
BetBoom Staff,BetBoom Staff,,1,
BetBoom Team,BetBoom Team,,1,
Betclic,Betclic,,1,
Betera,Betera,,1,
Bleed Esports,Bleed Esports,,1,
Bounty Hunters Esports,Bounty Hunters Esports,,1,
Boys N Da HUD,Boys N Da HUD,,1,
Bravado Gaming,Bravado Gaming,,1,
Bromo,Bromo,,1,
Buenas Tardes,Buenas Tardes,,1,
Buhawi,Buhawi,,1,
Bushido Wildcats,Bushido Wildcats,,1,
Békéscsabai E-Sport,Békéscsabai E-Sport,,1,
CIS MIX,CIS MIX,,1,
CS2NEWS,CS2NEWS,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
CS2NEWS + tried Team,CS2NEWS + tried Team,,1,
CSDIILIT,CSDIILIT,,1,
CYBERSHOKE Esports,CYBERSHOKE Esports,,1,"Has team_id pairs with zero shared roster players, but only across far-apart dates/years - plausible full roster turnover for the same org, not flagged as unresolved on this evidence alone."
CYBERSHOKE Prospects,CYBERSHOKE Prospects,,1,
CYBERSHOKE Staff,CYBERSHOKE Staff,,1,
Capcarap,Capcarap,,1,
Carpe Diem,Carpe Diem,,1,
CarritoSpain,CarritoSpain,,1,
Case Esports,Case Esports,,1,
CatEvil,CatEvil,,1,
Change The Game,Change The Game,,1,
Chervyachki,Chervyachki,,1,
Chimera Esports,Chimera Esports,,1,
