file(s),column_name,raw_dtype_note,granularity,null_pct_series_rows,null_pct_map_rows,known_before_match,leakage_risk_task_A_pre_veto_series,leakage_risk_task_B_map_specific,notes
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",match_id,"numeric-as-string (int-like/float-like, format varies by source file)",series,0.0,0.0,yes,none,none,Series identifier. Not unique alone in the raw file (1 series row + 1-5 map rows share it) - filter by is_total for a real key.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",game_id,"numeric-as-string (int-like/float-like, format varies by source file)",map,23.0,23.0,no,n/a,n/a,"Valid unique key only for map rows (is_total=False). On series rows it is blank or the negative of a real map game_id - a borrowed marker, not an independent id."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",tournament,string/object,series,0.0,0.0,yes,none,none,
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1_id,"numeric-as-string (int-like/float-like, format varies by source file)",team,0.0,0.0,yes,none,none,"NOT a persistent team identity - each id appears in exactly one match (verified). Canonically sorted (team1_id < team2_id always), unrelated to home/away. Do not use for historical joins. See Open Questions."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team1,string/object,team,0.0,0.0,yes,none,none,"Candidate identity key (repeats across matches, unlike team_id) but has unresolved name collisions across many different team_ids, including within a single tournament. Treat as an initial candidate key only - do not assume it safely resolves team identity. See Open Questions."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2_id,"numeric-as-string (int-like/float-like, format varies by source file)",team,0.0,0.0,yes,none,none,"NOT a persistent team identity - each id appears in exactly one match (verified). Canonically sorted (team1_id < team2_id always), unrelated to home/away. Do not use for historical joins. See Open Questions."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",team2,string/object,team,0.0,0.0,yes,none,none,"Candidate identity key (repeats across matches, unlike team_id) but has unresolved name collisions across many different team_ids, including within a single tournament. Treat as an initial candidate key only - do not assume it safely resolves team identity. See Open Questions."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",score1_match,"numeric-as-string (int-like/float-like, format varies by source file)",series outcome,0.0,0.0,no,high,high,Defines the match result. Reconstruct the label as sign(score1_match-score2_match) from this column directly - do not use the provided team1_win column (see leakage_analysis.md).
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",score2_match,"numeric-as-string (int-like/float-like, format varies by source file)",series outcome,0.0,0.0,no,high,high,Defines the match result. Reconstruct the label as sign(score1_match-score2_match) from this column directly - do not use the provided team1_win column (see leakage_analysis.md).
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",is_total,string/object,row-type flag,0.0,0.0,n/a,n/a,n/a,"Row-type indicator (series vs map row), not a pre-match feature."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",bestOf,"numeric-as-string (int-like/float-like, format varies by source file)",series,0.7,0.7,yes,none,none,"Announced match format. 116/9,923 series rows blank - needs an explicit fallback rule."
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",score1_game,"numeric-as-string (int-like/float-like, format varies by source file)",map outcome,70.9,0.4,no,n/a (unknown pre-veto),high,Current-map score. Unavailable before the map is played in either task; still leaky in Task B (map-specific prediction) since it's the current map's own outcome.
"cs2_all_tiers_games.csv, cs2_tier1_games.csv, cs2_tier2_games.csv, cs2_tier3_games.csv",score2_game,"numeric-as-string (int-like/float-like, format varies by source file)",map outcome,70.9,0.4,no,n/a (unknown pre-veto),high,Current-map score. Unavailable before the map is played in either task; still leaky in Task B (map-specific prediction) since it's the current map's own outcome.
